2020-11-23 15:01:27 INFO  Main:948 - org.springframework.transaction.config.internalTransactionalEventListenerFactory
2020-11-23 15:01:27 INFO  Main:948 - entityManagerFactory
2020-11-23 15:01:27 INFO  Main:948 - dataSource
2020-11-23 15:01:27 INFO  Main:948 - transactionManager
2020-11-23 15:01:27 INFO  Main:948 - exceptionTranslation
2020-11-23 15:01:27 INFO  Main:948 - org.springframework.aop.config.internalAutoProxyCreator
2020-11-23 15:03:40 INFO  Main:948 - org.springframework.context.annotation.internalConfigurationAnnotationProcessor
2020-11-23 15:03:40 INFO  Main:948 - org.springframework.context.annotation.internalAutowiredAnnotationProcessor
2020-11-23 15:03:40 INFO  Main:948 - org.springframework.context.annotation.internalPersistenceAnnotationProcessor
2020-11-23 15:03:40 INFO  Main:948 - org.springframework.context.event.internalEventListenerProcessor
2020-11-23 15:03:40 INFO  Main:948 - org.springframework.context.event.internalEventListenerFactory
2020-11-23 15:03:40 INFO  Main:948 - cycleAvoidingMappingContext
2020-11-23 15:03:40 INFO  Main:948 - dateMapper
2020-11-23 15:03:40 INFO  Main:948 - geometryConverter
2020-11-23 15:03:40 INFO  Main:948 - addressMapperImpl
2020-11-23 15:03:40 INFO  Main:948 - cardMapperImpl
2020-11-23 15:03:40 INFO  Main:948 - messageMapperImpl
2020-11-23 15:03:40 INFO  Main:948 - orderMapperImpl
2020-11-23 15:03:40 INFO  Main:948 - rentPointMapperImpl
2020-11-23 15:03:40 INFO  Main:948 - subscriptionMapperImpl
2020-11-23 15:03:40 INFO  Main:948 - userMapperImpl
2020-11-23 15:03:40 INFO  Main:948 - vehicleMapperImpl
2020-11-23 15:03:40 INFO  Main:948 - addressService
2020-11-23 15:03:40 INFO  Main:948 - cardService
2020-11-23 15:03:40 INFO  Main:948 - messageService
2020-11-23 15:03:40 INFO  Main:948 - orderService
2020-11-23 15:03:40 INFO  Main:948 - rentPointService
2020-11-23 15:03:40 INFO  Main:948 - subscriptionService
2020-11-23 15:03:40 INFO  Main:948 - userService
2020-11-23 15:03:40 INFO  Main:948 - vehicleService
2020-11-23 15:03:40 INFO  Main:948 - persistenceConfig
2020-11-23 15:03:40 INFO  Main:948 - addressDao
2020-11-23 15:03:40 INFO  Main:948 - cardDaoJpaImpl
2020-11-23 15:03:40 INFO  Main:948 - messageDao
2020-11-23 15:03:40 INFO  Main:948 - orderJpaDaoImpl
2020-11-23 15:03:40 INFO  Main:948 - rentPointDao
2020-11-23 15:03:40 INFO  Main:948 - subscriptionDao
2020-11-23 15:03:40 INFO  Main:948 - userDao
2020-11-23 15:03:40 INFO  Main:948 - vehicleDao
2020-11-23 15:03:40 INFO  Main:948 - org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration
2020-11-23 15:03:40 INFO  Main:948 - org.springframework.transaction.config.internalTransactionAdvisor
2020-11-23 15:03:40 INFO  Main:948 - transactionAttributeSource
2020-11-23 15:03:40 INFO  Main:948 - transactionInterceptor
2020-11-23 15:03:40 INFO  Main:948 - org.springframework.transaction.config.internalTransactionalEventListenerFactory
2020-11-23 15:03:40 INFO  Main:948 - entityManagerFactory
2020-11-23 15:03:40 INFO  Main:948 - dataSource
2020-11-23 15:03:40 INFO  Main:948 - transactionManager
2020-11-23 15:03:40 INFO  Main:948 - exceptionTranslation
2020-11-23 15:03:40 INFO  Main:948 - org.springframework.aop.config.internalAutoProxyCreator
2020-11-23 15:13:12 DEBUG OrderService:47 - order created : 1
2020-11-23 15:14:22 DEBUG OrderService:47 - order created : 1
2020-11-23 15:16:12 DEBUG OrderService:47 - order created : 1
2020-11-23 15:18:00 DEBUG OrderService:47 - order created : 1
2020-11-23 16:18:27 DEBUG OrderService:47 - order created : 1
2020-11-23 16:21:32 DEBUG OrderService:47 - order created : 1
2020-11-23 16:24:21 DEBUG OrderService:47 - order created : 1
2020-11-23 16:27:16 DEBUG OrderService:47 - order created : 1
2020-11-23 16:35:11 DEBUG OrderService:47 - order created : 1
2020-11-23 16:37:20 DEBUG OrderService:48 - order created : 1
2020-11-23 16:37:20 DEBUG OrderService:74 - event was published 
2020-11-23 16:37:20 DEBUG MessageService:43 - Message sent!
2020-11-23 16:37:20 INFO  UserService:67 - triggered by order service
2020-11-23 16:40:15 DEBUG OrderService:48 - order created : 1
2020-11-23 16:40:16 DEBUG OrderService:74 - event was published 
2020-11-23 16:40:16 DEBUG MessageService:43 - Message sent!
2020-11-23 16:40:16 INFO  UserService:67 - triggered by order service : Uasya
2020-11-23 16:41:53 DEBUG OrderService:48 - order created : 1
2020-11-23 16:41:53 DEBUG OrderService:74 - event was published 
2020-11-23 16:41:53 DEBUG MessageService:43 - Message sent!
2020-11-23 16:41:53 INFO  UserService:67 - triggered by order service : Uasya id : 1
2020-11-23 16:42:38 DEBUG OrderService:48 - order created : 1
2020-11-23 16:42:39 DEBUG OrderService:74 - event was published 
2020-11-23 16:42:39 DEBUG MessageService:43 - Message sent!
2020-11-23 16:42:39 INFO  UserService:67 - triggered by order service : Uasya id : 1
2020-11-23 17:00:55 DEBUG OrderService:48 - order created : 1
2020-11-23 17:00:56 DEBUG OrderService:74 - event was published 
2020-11-23 17:00:56 DEBUG MessageService:43 - Message sent!
2020-11-23 17:00:56 INFO  UserService:70 - triggered by order service : Uasya id : 1
2020-11-23 18:29:47 DEBUG OrderService:50 - order created : 1
2020-11-23 18:29:48 DEBUG OrderService:76 - event was published 
2020-11-23 18:29:48 DEBUG MessageService:43 - Message sent!
2020-11-23 18:42:01 DEBUG OrderService:50 - order created : 1
2020-11-23 18:42:02 DEBUG OrderService:76 - event was published 
2020-11-23 18:42:02 DEBUG MessageService:43 - Message sent!
2020-11-23 18:44:42 DEBUG OrderService:50 - order created : 1
2020-11-23 18:44:43 DEBUG OrderService:76 - event was published 
2020-11-23 18:44:43 DEBUG MessageService:43 - Message sent!
2020-11-23 18:48:45 DEBUG OrderService:50 - order created : 1
2020-11-23 18:48:45 DEBUG OrderService:76 - event was published 
2020-11-23 18:48:45 DEBUG MessageService:43 - Message sent!
2020-11-23 18:58:27 DEBUG OrderService:50 - order created : 1
2020-11-23 19:01:42 DEBUG OrderService:50 - order created : 1
2020-11-23 19:01:42 DEBUG OrderService:76 - event was published 
2020-11-23 19:01:43 DEBUG MessageService:43 - Message sent!
2020-11-23 23:09:40 DEBUG OrderService:50 - order created : 1
2020-11-23 23:09:41 DEBUG OrderService:76 - event was published 
2020-11-23 23:09:41 DEBUG MessageService:43 - Message sent!
2020-11-23 23:13:08 DEBUG OrderService:50 - order created : 1
2020-11-23 23:13:08 DEBUG OrderService:76 - event was published 
2020-11-23 23:13:09 DEBUG MessageService:43 - Message sent!
2020-11-23 23:13:09 INFO  UserService:108 - triggered by order service : Uasya0
2020-11-23 23:18:02 DEBUG OrderService:50 - order created : 1
2020-11-23 23:18:02 DEBUG UserService:77 - users cards 1
2020-11-23 23:18:02 DEBUG OrderService:76 - event was published 
2020-11-23 23:18:03 DEBUG MessageService:43 - Message sent!
2020-11-23 23:18:03 INFO  UserService:109 - triggered by order service : Uasya0
2020-11-23 23:35:10 DEBUG OrderService:50 - order created : 1
2020-11-23 23:38:51 DEBUG OrderService:50 - order created : 1
2020-11-23 23:38:51 DEBUG UserService:77 - user's cards 1
2020-11-23 23:38:51 DEBUG OrderService:76 - event was published 
2020-11-23 23:38:51 DEBUG MessageService:43 - Message sent!
2020-11-23 23:38:51 INFO  UserService:109 - triggered by order service : Uasya0
2020-11-23 23:42:18 DEBUG OrderService:50 - order created : 1
2020-11-23 23:42:19 DEBUG UserService:77 - user's cards 1
2020-11-23 23:42:19 DEBUG UserService:77 - user's cards 1
2020-11-23 23:42:19 DEBUG UserService:77 - user's cards 1
2020-11-23 23:42:19 DEBUG UserService:77 - user's cards 1
2020-11-23 23:42:19 DEBUG OrderService:76 - event was published 
2020-11-23 23:42:19 DEBUG MessageService:43 - Message sent!
2020-11-23 23:42:19 INFO  UserService:109 - triggered by order service : Uasya0
2020-11-23 23:45:29 DEBUG OrderService:50 - order created : 1
2020-11-23 23:45:29 DEBUG UserService:77 - user's cards 1
2020-11-23 23:45:29 DEBUG UserService:77 - user's cards 1
2020-11-23 23:45:30 DEBUG UserService:77 - user's cards 1
2020-11-23 23:45:30 DEBUG UserService:77 - user's cards 1
2020-11-23 23:45:30 DEBUG OrderService:76 - event was published 
